date,cum_disp_mm
20141019,0.32475244998931885
20141112,0.26573196053504944
20141206,3.2144813537597656
20141230,6.496801376342773
20150123,7.613543510437012
20150216,7.320518970489502
20150228,6.8031134605407715
20150324,3.8971545696258545
20150417,1.0554111003875732
20150511,2.427837371826172
20150604,3.9888410568237305
20150628,4.783535957336426
20150722,0.6710580587387085
20150815,-3.9533214569091797
20150908,-5.002946376800537
20151002,-5.221201419830322
20151026,-7.171855449676514
20151119,-6.074239730834961
20151213,-3.1938626766204834
20160106,0.8737131953239441
20160130,0.24150559306144714
20160223,-0.3280487656593323
20160318,-1.9018335342407227
20160411,-2.0226874351501465
20160505,-3.383586883544922
20160529,-6.828407287597656
20160704,-10.808778762817383
20160716,-10.958244323730469
20160809,-13.041658401489258
20160902,-12.376324653625488
20160926,-13.29975700378418
20161020,-14.713116645812988
20161113,-15.28126049041748
20161207,-14.780200004577637
20161231,-14.764817237854004
20170124,-16.66640853881836
20170205,-18.473390579223633
20170217,-17.849611282348633
20170301,-17.653263092041016
20170313,-18.120990753173828
20170325,-17.932151794433594
20170406,-17.549306869506836
20170418,-16.629913330078125
20170430,-11.972051620483398
20170512,-19.6596622467041
20170524,-21.26869773864746
20170605,-23.20273780822754
20170629,-30.641759872436523
20170711,-34.91454315185547
20170723,-40.2606086730957
20170804,-42.405555725097656
20170816,-42.70415115356445
20170828,-45.51800537109375
20170909,-43.460609436035156
20170921,-44.62242126464844
20171003,-43.32619094848633
20171015,-42.92937088012695
20171027,-41.34296798706055
20171108,-41.00200653076172
20171120,-40.288822174072266
20171202,-39.488040924072266
20171214,-38.32692337036133
20171226,-37.5233039855957
20180107,-39.54576873779297
20180119,-35.86338424682617
20180131,-38.731990814208984
20180212,-37.67131805419922
20180224,-37.7300910949707
20180308,-39.69931411743164
20180320,-40.72193908691406
20180401,-42.55365753173828
20180413,-44.04221725463867
20180425,-46.93158721923828
20180507,-48.259613037109375
20180519,-45.835166931152344
20180531,-46.57565689086914
20180612,-49.941383361816406
20180624,-50.58328628540039
20180706,-51.2974967956543
20180718,-51.62114715576172
20180730,-53.481571197509766
20180811,-55.35066223144531
20180823,-53.3257942199707
20180904,-52.785797119140625
20180916,-54.47924041748047
20180928,-51.927093505859375
20181010,-50.34040069580078
20181022,-52.64738082885742
20181103,-52.005821228027344
20181115,-52.718994140625
20181127,-53.12293243408203
20181209,-54.00752639770508
20181221,-53.910491943359375
20190102,-53.189598083496094
20190114,-54.76380157470703
20190126,-53.189029693603516
20190207,-53.4335823059082
20190219,-52.559288024902344
20190315,-55.96865463256836
20190327,-57.86102294921875
20190408,-60.307960510253906
20190420,-58.74799728393555
20190502,-59.695960998535156
20190514,-60.394962310791016
20190526,-56.7570915222168
20190607,-61.99828338623047
20190619,-61.54420852661133
20190701,-64.02555847167969
20190713,-66.5016098022461
20190725,-66.2690658569336
20190806,-67.75820922851562
20190818,-69.74293518066406
20190830,-68.59615325927734
20190911,-71.10643768310547
20190923,-70.81488037109375
20191005,-69.95723724365234
20191017,-67.91484832763672
20191029,-68.16191864013672
20191110,-68.72067260742188
20191122,-69.20491790771484
20191204,-69.44483947753906
20191216,-69.4083480834961
20191228,-68.28463745117188
20200109,-69.80989074707031
20200121,-70.01414489746094
20200202,-73.10189819335938
20200214,-73.0207748413086
20200226,-73.86042785644531
20200309,-75.03874969482422
20200321,-75.40620422363281
20200402,-77.5646743774414
20200414,-78.37562561035156
20200426,-80.28582000732422
20200508,-79.98865509033203
20200520,-77.18568420410156
20200601,-77.10599517822266
20200613,-75.74220275878906
20200625,-74.7426528930664
20200707,-75.20319366455078
20200719,-74.93701934814453
20200731,-74.55537414550781
20200812,-78.94659423828125
20200824,-74.33453369140625
20200905,-81.3377914428711
20200917,-80.45393371582031
20200929,-83.05426025390625
20201011,-82.2001724243164
20201023,-81.85269927978516
20201104,-83.99313354492188
20201116,-85.32723236083984
20201128,-85.73521423339844
20201210,-86.82510375976562
20201222,-88.22100067138672
20210103,-86.74720001220703
20210115,-85.40248107910156
20210127,-86.01070404052734
20210208,-87.11195373535156
20210220,-85.47721099853516
20210304,-86.94612884521484
20210316,-86.62977600097656
20210328,-86.26976013183594
20210409,-89.44678497314453
20210421,-85.39864349365234
20210503,-86.81995391845703
20210515,-85.62681579589844
20210527,-82.43759155273438
20210608,-86.50153350830078
20210620,-87.44119262695312
20210702,-87.30441284179688
20210714,-89.04292297363281
20210726,-90.02000427246094
20210807,-90.91699981689453
20210819,-94.00723266601562
20210831,-96.69924926757812
20210912,-95.12006378173828
20210924,-96.83436584472656
20211006,-96.48625946044922
20211018,-98.83777618408203
20211030,-97.82701110839844
20211111,-94.2591323852539
20211123,-94.22665405273438
20211205,-93.9308853149414
20211217,-93.61097717285156
20211229,-91.78097534179688
20220110,-92.69017791748047
20220122,-91.94104766845703
20220203,-92.65018463134766
20220215,-94.22715759277344
20220227,-95.92619323730469
20220311,-97.0725326538086
20220323,-97.98876190185547
20220404,-98.55068969726562
20220416,-97.5006332397461
20220428,-100.33688354492188
20220510,-100.43216705322266
20220522,-102.85418701171875
20220603,-104.656005859375
20220615,-103.19770050048828
20220627,-103.88717651367188
20220709,-105.55010223388672
20220721,-106.7297134399414
20220802,-108.24520874023438
20220814,-108.5956039428711
20220826,-109.42626953125
20220907,-110.52598571777344
20220919,-109.76962280273438
20221001,-111.09756469726562
20221013,-110.08766174316406
20221025,-111.95559692382812
20221106,-111.26655578613281
20221118,-110.61612701416016
20221130,-112.43352508544922
20221212,-112.62985229492188
20221224,-114.16497039794922
20230105,-114.13092041015625
20230117,-115.28137969970703
20230129,-115.57035827636719
20230210,-117.09814453125
20230222,-118.94143676757812
20230306,-119.40885925292969
20230318,-117.68335723876953
20230330,-122.26818084716797
20230411,-123.85681915283203
20230423,-124.78156280517578
20230505,-122.82617950439453
20230517,-123.46992492675781
20230529,-120.4315185546875
20230610,-125.79838562011719
20230622,-123.03794860839844
20230704,-125.8836669921875
20230716,-124.02715301513672
20230728,-126.9032211303711
20230809,-125.73599243164062
20230821,-130.14247131347656
20230902,-132.97476196289062
20230914,-131.9872589111328
20230926,-134.97988891601562
20231008,-134.2125244140625
20231020,-136.62290954589844
20231101,-133.5343475341797
20231113,-134.2439422607422
20231125,-133.19070434570312
20231207,-132.1287078857422
20231219,-130.7783660888672
20231231,-131.59860229492188
20240112,-131.2333221435547
20240124,-133.7909393310547
20240205,-132.37644958496094
20240217,-134.5426483154297
20240229,-134.93978881835938
20240312,-138.02552795410156
20240324,-136.92779541015625
20240405,-139.37657165527344
20240417,-138.19393920898438
20240429,-138.17674255371094
20240511,-138.0294647216797
20240523,-139.7216033935547
20240604,-136.99166870117188
20240616,-137.7797393798828
20240710,-130.42123413085938
20240722,-144.4251708984375
20240803,-138.83868408203125
20240815,-146.05099487304688
20240827,-142.7902374267578
20240908,-146.39923095703125
20240920,-146.51731872558594
20241002,-147.36386108398438
20241014,-148.75161743164062
20241026,-147.7131805419922
20241107,-146.42529296875
20241119,-145.36973571777344
20241201,-147.2489471435547
